Date,Open,High,Low,Close,Adj Close,Volume
1999-07-21,4.817212104797363,5.184810161590576,4.817212104797363,4.96617317199707,3.017058849334717,157761404
1999-07-22,4.848445892333984,4.951757907867432,4.608185768127441,4.615394115447998,2.8039538860321045,39794738
1999-07-23,4.588964939117432,4.824419975280762,4.516887187957764,4.612990856170654,2.8024933338165283,16467694
1999-07-26,4.632212162017822,4.709095001220703,4.46883487701416,4.492860794067383,2.7295117378234863,12032324
1999-07-27,4.492860794067383,4.56253719329834,4.384744167327881,4.538510799407959,2.7572453022003174,8734409
1999-07-28,4.516887187957764,4.56253719329834,4.4448089599609375,4.526497840881348,2.7499473094940186,5465117
1999-07-29,4.564939022064209,4.627407073974609,4.512082099914551,4.536108016967773,2.7557857036590576,4493032
1999-07-30,4.588964939117432,4.625003814697266,4.492860794067383,4.564939022064209,2.773301362991333,4012994
1999-08-02,4.564939022064209,4.612990856170654,4.507277011871338,4.538510799407959,2.7572453022003174,5050150
1999-08-03,4.560133934020996,4.564939022064209,4.415977954864502,4.497665882110596,2.732431650161743,5875277
1999-08-04,4.492860794067383,4.56253719329834,4.440003871917725,4.492860794067383,2.7295117378234863,4852368
1999-08-05,4.519289970397949,4.610589027404785,4.4448089599609375,4.560133934020996,2.7703816890716553,5119283
1999-08-06,4.564939022064209,4.5865631103515625,4.4087700843811035,4.490458965301514,2.7280526161193848,4860572
1999-08-09,4.492860794067383,4.528900146484375,4.348704814910889,4.370328903198242,2.655071258544922,5280255
1999-08-10,4.339095115661621,4.391952037811279,4.252601146697998,4.300652980804443,2.6127419471740723,5238575
1999-08-11,4.279029846191406,4.324678897857666,4.185328006744385,4.206952095031738,2.555816411972046,3958824
1999-08-12,4.2045488357543945,4.276627063751221,4.190134048461914,4.250198841094971,2.5820889472961426,2738175
1999-08-13,4.264614105224609,4.276627063751221,4.108445167541504,4.134873867034912,2.5120270252227783,3298218
1999-08-16,4.132471084594727,4.132471084594727,3.9570810794830322,3.9883151054382324,2.4229888916015625,4268875
1999-08-17,3.9883151054382324,4.151691913604736,3.9642889499664307,4.050783157348633,2.460940361022949,2889719
1999-08-18,4.118055820465088,4.132471084594727,4.012341022491455,4.108445167541504,2.4959707260131836,2297536
1999-08-19,4.127665996551514,4.355913162231445,4.096432209014893,4.240588188171387,2.5762505531311035,3565629
1999-08-20,4.322277069091797,4.322277069091797,4.180522918701172,4.192535877227783,2.547057867050171,3044189
1999-08-23,4.300652980804443,4.367926120758057,4.250198841094971,4.274225234985352,2.5966858863830566,1944764
1999-08-24,4.322277069091797,4.322277069091797,4.197340965270996,4.216561794281006,2.5616540908813477,3097927
1999-08-25,4.276627063751221,4.276627063751221,4.19974422454834,4.202147006988525,2.5528972148895264,1832111
1999-08-26,4.2045488357543945,4.206952095031738,4.158899784088135,4.178121089935303,2.5383005142211914,1317905
1999-08-27,4.180522918701172,4.2045488357543945,4.163704872131348,4.192535877227783,2.547057867050171,1378477
1999-08-30,4.2045488357543945,4.216561794281006,4.108445167541504,4.118055820465088,2.5018093585968018,1314617
1999-08-31,4.120458126068115,4.144484043121338,4.084418773651123,4.120458126068115,2.5032689571380615,1357329
1999-09-01,4.120458126068115,4.142082214355469,4.084418773651123,4.086822032928467,2.482835054397583,1181769
1999-09-02,4.065197944641113,4.132471084594727,3.9883151054382324,4.101236820220947,2.491591691970825,1986577
1999-09-03,4.120458126068115,4.216561794281006,4.0748090744018555,4.130068778991699,2.5091073513031006,1940959
1999-09-06,4.120458126068115,4.2045488357543945,4.120458126068115,4.180522918701172,2.539759397506714,1300878
1999-09-07,4.2237701416015625,4.283834934234619,4.158899784088135,4.238185882568359,2.574791431427002,1791542
1999-09-08,4.238185882568359,4.240588188171387,4.194939136505127,4.209353923797607,2.5572755336761475,919795
1999-09-09,4.252601146697998,4.4448089599609375,4.2285767034912,4.173315048217773,4.101236820220947,4.103640079498291,2.493051767349243,0
1999-10-07,4.134873867034912,4.173315048217773,4.101236820220947,4.103640079498291,2.493051767349243,0
1999-10-08,4.098834991455078,4.132471084594727,4.0748090744018555,4.094029903411865,2.487213611602783,945975
1999-10-11,4.118055820465088,4.19974422454834,4.0748090744018555,4.151691913604736,2.5222442150115967,1939590
1999-10-12,4.156497001647949,4.21896505355835,4.134873867034912,4.214159965515137,2.560194969177246,682747
1999-10-13,4.2045488357543945,4.276627063751221,4.19974422454834,4.19974422454834,2.5514373779296875,1973512
